WNAM,SCHN
"Abarzuza y Rodríguez de Arias, Felipe",Cádiz
"Abas Aranda, Felipe",Madrid; Aragon
"Abelar, Manuel de",Galicia
"Abelenda Zapata, Manuel",Galicia
"Abella y Garaulet, José",Valencia
"Abelló Martín, Juan (or Joan)",Barcelona
"Abiell, Guillermo (or Guglielmo, or Guillelmus, or Guillem)",Catalonia
"Abín, César",Cantabria
"Abreu y Barreda, Gabriel",Madrid
"Abreu, Juan",Canary Islands
"Abril y Blasco, Salvador",Valencia; Granada
"Abril, Bartolomé",Valencia; Castile; Estremadura
"Aburto, Rafael",Basque Country; Madrid
"Acedo, Diego de",Seville
"Aceres, T.",[n.r.]
"Acero, Vicente",Andalusia
"Acevedo, Cristóbal de",Murcia; Madrid
"Acevedo, José",Asturias; Madrid
"Acevedo, Manuel",Madrid
"Acha, Juan Antonio de",Cantabria
"Acosta Losada, Juan de",Orense
"Acosta, Cayetano",Seville
"Acquaroni, Miguel",Cádiz; Madrid
"Acuña, Cosme",Madrid
"Adam and Eve Workshop, The",León
"Adán, Juan (or Joan)",Aragon; Madrid
"Adán, Miguel",Toledo; Seville
"Adaro, Eduardo",Madrid
"Adelantado, Fernando",Barcelona
"Adsuara Ramos, Emilio",Valencia
"Adsuara Ramos, Juan Bautista",Castellón; Madrid
"Agra, José Antonio de",Galicia
"Agramunt, Agustín (or Augustin)",Valencia
"Agrasot y Juan, Joaquín (or Joaquim)",Valencia
"Agreda, Esteban de",Navarre; Madrid
"Agreda, Manuel de",Navarre; Madrid
"Agua, Bernardino del",Madrid
"Aguadé, Carmen María",Barcelona
"Aguado Alvarez, Alfredo",Asturias
"Aguado Arnal, Rafael",Aragon; Madrid
"Aguado García, Joaquín",Madrid
"Aguado y Guerra, José",Huelva; Madrid
"Aguayo Benedicte, Fermín",Burgos
"Agüero, Benito Manuel de",Madrid
"Aguiar García, José",Canary Islands; Madrid
"Aguiar, Tomás de",Madrid
"Aguila Acosta, A[dolfo]",Andalusia
"Aguila, Baltasar del",Córdoba
"Aguila, Francisco del",Murcia
"Aguila, Francisco del",Madrid
"Aguila, Gaspar del",Seville
"Aguila, Miguel del",Seville
"Aguilar Casado, Antonio",Madrid
