"Benavent Santandreu, Joan (or Juan)",1903,1951
"Benedicto García, Manuel",1895,1950
"Bergé Larrosa, Josep (or José)",1904,1944
"Bermejo, Enrique",1871-doc.1872,1871-doc.1872
"Bermudo Mateos, José",1876-1929,1876-1929
"Bertodano, Luis",1895-1908,1895-1908
"Beut Lluch, Luis",1873,1910
"Bienabe Artía, Bernardino",1899,1975
"Blanco Castro, Aurelio",1916,1957
"Blasco Pastor, Arcadio (or Arcadi)",1928,1991
"Blasco, Esteban",1878-1881,1878-1881
"Blesa y Prats, Luis (or Lluís)",1896-op.1920,1896-op.1920
"Boada Matas, Casimiro (or Casimir)",1888,1949
"Boada Mercader, Pablo (or Pau)",1910,1951
"Boix-Vives, Anselmo (or Anselme)",1899,1966
"Bonet Serrat, Laureano (or Laureà)",1898,1936
"Bonnín Guerín, Francisco",1874,1951
"Borbera, Juan",1927,1951
"Borrás Casanova, Joan (or Juan)",1895,1938?
"Borrás Solana, José",1897,1897
"Borrell Vidal, Félix (or Feliu)",1875,1917
"Bosch Puigvert, Ramón",1905,1944
"Bosch Sanans, Germà (or Germán)",1904,1949
"Bosch Tubau, Florencì (or Florencio)",1899,1951
"Bricio Delgado, Félix",1880-1881,1880-1881
"Brito, Manuel",1916,1951
"Brugarolas Serrador, Antoni (or Antonio)",1869,1944
"Bruno, José",1916,1951
"Buendía y Beltrán, Pablo",1897-1899,1897-1899
"Buj, Benjamín",1924,1924
"Buró, Carlos",1929,1982
"Caballe, Antonio",1915,1951
"Caballero y Villarroel, José",1842,1901
"Cabanas Oteiza, Angel",1910-1931,1910-1931
"Cabané Manauta, Joaquim (or Joaquín)",1922,p.1968
"Cabanzón Hernández, Francisco",1884,1926
"Cabases Muñoz, Antonio",1900,1944
"Cabirol Sendrós, Joan (or Juan) de",1916,1948
"Cabral Aguado Bejarano, Rafael",1837,1858
"Cabral y Llano, Enrique",1879-op.1888,1879-op.1888
"Cabrera, Rubén",1951,1951
"Cabrinety Guiteres, Juan (or Joan)",1865,1896
"Cacicedo Canales, Manuel",1909,1978
"Calderón, Fernando",1928,1976
"Camós Cabruja, Luis (or Lluís)",1892,1944
"Campo Sobrino, Fernando",1886,1920
"Camps Ribera, Francesc (or Francisco)",1895,1982
"Cañada Valle, Alejandro",1908,1951
"Canalias, José",1904-1912,1904-1912
"Cañaveral y Pérez, Enrique",1881,1881
"Cantó y Mas, Juan (or Joan)",1877,1877
"Canut Soler, Carles (or Carlos)",1899,1944
"Capmany Montaner, Ramon",1899,1961
"Caprotti, Oscar",1933,1951
"Capuleto, Francisco",1926,1978
"Carbona Balaguer, María Angeles (or Maria dels Angels)",1912,1944
"Cardellà Crusells, Joan (or Juan)",1900,1978
"Cárdenas, Juan Ignacio de",1928,1989
"Caro Herrera, Antonio",1894-1899,1894-1899
"Carrasco Díaz, Francisco",1943,1943
"Carrasco, Vicente",1908-1910,1908-1910
"Carreño, Emilio Julio",1930,1951
"Carreras Martí, Joaquim (or Joaquín)",1904,1944
"Carreras Obrador, Josep (or José)",1900,1944
"Carretero Gomis, Josep",1905,1952
"Carrión Valverde, Antonio",1862,1862
"Casals Grau, Vicenç (or Vicente)",1916,1951
"Casals Maynou, Juli (or Julio)",1904,1950
"Casán Matamala, Josep (or José)",1873,1907
"Casas Devesa, Joan (or Juan)",1912,1946
"Casenave y Pérez, José",1892-1895,1892-1895
"Cases Capó, José (or Josep)",1906,1975
"Castañer, Ramón",1929,1951
"Castaño Guerrero, Miguel",1881-1882,1881-1882
"Castaños Agáñez, Manuel",1857,1910
"Castaños Oller, Rodrigo",1883,1914
"Castedo, Julián",1899,1938
"Castelló y González del Campo, Antonio",1845-1855,1845-1855
"Castillo Olivares, Pedro del",1922,1974
"Castillo, Aurelio del",1927,1927
"Castillo, Jorge",1933,1992
"Castro Cires, Raimundo",1894,1929
"Castro Llamas, José",1923,1951
"Castro, Carlos",1864,1864
"Causarás Casaña, Ricardo",1875,1929
"Causarás Tarazona, Lluís (or Luis)",1902,1944
"Cebrián, Gregorio",1899,1951
"Celis Gutiérrez, Agustín de",1932,1990
"Cerveto Riba, Ricard (or Ricardo)",1882,1944
"Chamorro Aguilar, Joaquín",1914,1964
"Chicharro Gamo, José",1897,1926
"Chico, José Manuel",1916,1989
"Chicote, Victoriano",1901-1904,1901-1904
"Chillida, Eduardo",1924,1992
"Choquet, Luciano",1832,1862
"Ciria, Javier",1904,1972
"Clapera Argelaguer, Pere (or Pedro)",1906,1953
"Claramunt Poch, Salvador",1896,1944
"Claret, Joan (or Juan)",1929,1976
"Clavo Gil, Vicente",1923,1972
"Climent Mata, Francisco (or Francesc)",1895,1951
"Cobos Linderman, Josep (or José)",1899,1944
"Codina Sert, Ginés (or Genís)",1860,1900
"Colinas Quirós, Ceferino",1901,1930
"Coll Gispert, Marcos",1915,1915
"Coll Salieti, Joaquim (or Joaquín)",1898-1918,1898-1918
"Collar, Antonio",1905,1968
"Colomer Rovira, Trinitat (or Trinidad)",1920,1944
"Comallonga Palau, Lluís (or Luis)",1909,1944
"Comas Ortega, Pedro",1902,1944
"Conill Orriols, Jacint (or Jacinto)",1914,1976
"Conradi, Miguel Angel",1899,1978
"Corberó Trepat, Valeri (or Valerio)",1908,1977
"Corbi, Juan",1924,1924
"Corchón, José María",1864,1864
"Cordón Bonet, Faustino",1909,1951
"Corominas Casanovas, Joan",1918-1920,1918-1920
"Corona Gómez Gamero, Elías",1908,1908
"Corro, Cecilio",1834-op.1866,1834-op.1866
"Cortellini y Sánchez, Angel",1881-1892,1881-1892
"Cortés Bau, José",1872-1879,1872-1879
"Cortés Echanove, Javier",1890,1982
"Cortés Moreno, Rafael",1917-1930,1917-1930
"Cortés Pérez, Daniel",1900-1901,1900-1901
"Cortés y Cordero, Eduardo",1870,1903
"Cossío Villalobos, José",1951,1951
"Costa Solé, Josep (or José)",1913,1944
"Cotter, Emilio",1899-1901,1899-1901
"Crespo y Villanueva, Manuel",1890-1897,1890-1897
"Crespo, Esteban",1918,1951
"Cristòfol, Leandre (or Leandro)",1908,1990
"Cuadra Jiménez, Cipriano",1895-1901,1895-1901
"Cuadra, Fernando de la",1895,1895
"Cuartielles, R.",1885,1885
"Cubas Martín, José",1920,1953
"Cuéllar Sánchez, José",1913,1947
"Cuervo y Heras, Aquilino",1892-1904,1892-1904
"Curet Paretas, Llorenç (or Lorenzo)",1906,1944
"Davalillo Artigas, Carmel (or Carmelo)",1898,1967
"Davo Rodríguez, Juan",1898,1951
"Delgado, Pedro",1881,1881
"Díaz Alberro, Joaquín",1896,1941
"Díaz Bueno, José",1892,1951
"Díaz Domínguez, Angel",1881,1942
"Díaz Méndez, José Clemente",1941,1941
"Díaz Pardo, Isaac",1920,1977
"Díaz y González, Vicente",1895,1941
"Díaz y Sánchez, Angel",1859,1904
"Díez Penades, José",1897-1901,1897-1901
"Domecq González, Manuel Jesús",1912,1951
"Domingo, Benet",1949,1949
"Domínguez Meunier, Manuel",1878-1900,1878-1900
"Dorado, Manuel",1907,1951
"Duque, Manuel",1919,1972
"Durand, Robert",1920,1920
"Echeandía, Julio",1899-1900,1899-1900
"Escolá, Salvador",1850,1881
"Escribá García, Casimiro",1931-1935,1931-1935
"Escuder Ferrer, Manuel",1875,1944
"Escudero, Francisco",1871,1909
"Espinós, José",1917,1964
"Esteban y Lozano, Víctor",1856-1884,1856-1884
"Esteve y Vilella, José",1766,1796
"Fabré Bertrand, Jordi (or Jorge)",1911,1977
"Fàbregas Ferrando, Josep Maria (or José María)",1908,1983
"Feito López, Luis",1929,1991
"Felices, Alfredo",1904,1951
"Fernández Albalat, Andrés",1924,1951
"Fernández Barrio, Jesús",1921,1979
"Fernández Cuervo, Andrés",1896,1975
"Fernández Curro, Antonio",1908,1951
"Fernández del Castillo, José Sixto",1926,1951
"Fernández Hidalgo, Eulalio",1906,1906
"Fernández Marrero, Antonio",1902/1903,1927
"Fernández Martínez, Rafael",1951-1962,1951-1962
"Fernández Núñez, Rodrigo",1899-1904,1899-1904
"Fernández Palazuelos, Joaquín",1925,1951
"Fernández Pasajes, José Luis",1917,1944
"Fernández Torrado, Félix",1916,1951
"Fernández y Rodríguez, Silvio",1850,1912
"Fernández, Nicolás",1951,1951
"Ferrándiz Llopis, Tomás",1914,1967
"Ferré Ferré, Ramón",1908,1958
"Ferré Revascall, Josep (or José)",1908,1988
"Ferrer Calatayud, Salvador",1895-1896,1895-1896
"Ferrer Carbonell, Juan",1892,1977
"Ferrer Comas, Eduardo (or Eduard)",1892,1944
"Ferrer Matas, Santiago",1907-1929,1907-1929
"Ferrer, Vicente",1850,1876
"Fina Fernández, Guillem",1910,1955
"Fló Guitart, Eduardo (or Eduard)",1881,1944
"Flores Ibáñez, Eduardo",1871-1889,1871-1889
"Flores, Maravillas",1905,1951
"Florido Berruelo, Enrique",1887,1887
"Fonseca y López de Vinuesa, Fernando",1890,1890
"Fonts Nogués, Andreu (or Andrés)",1898,1974
"Fornells-Pla, Francesc (or Francisco)",1921,1981
"Franco Cordero, José",1878-1892,1878-1892
"Frau, Josep",1887,1921
"Freixas Vivó, Amadeu",1950-1976,1950-1976
"Freixes Saurí, Joaquim (or Joaquín)",1880,1942
"Fresno y Arroyo, Anselmo del",1916,1916
"Fresquet, Guillem (or Guillermo)",1914,1990
"Fuente y Almazán, Luis (or Louis) de la",1850,1881
"Fuentes y Redondo, Ubaldo",1892-1915,1892-1915
"Fuentes, Juan",1924,1924
"Furió, Ernesto",1902,1982
"Gallardo, Luis",1905,1938
"Gallego y Alvarez, Domingo",1817,1878
"Gálvez Roig, José",1905,1951
"Gàndara Bonnín, Manuel",1902,1946
"García Bustamante, Luis",1900,1969
"García de la Cal, Francisco",1881,1899
"García del Corral, Federico (or Frederik)",1877-1887,1877-1887
"García Díaz, Angel",1873,1911
"García Espínola, Ramón",1871,1899
"García González, Manuel",1879,1926
"García Lema, Pedro",1906,1980
"García López, Antonio",1884-1899,1884-1899
"García Martínez, Emilio",1875,1957
"García Morales, Antonio",1910,1957
"García Oliver, Luis (or Lluís)",1907,1951
"García Ortiz, Francisco Javier",1891,1951
"García Patiño, Mariano",1915,1957
"García Salazar, Miguel",1898-1901,1898-1901
"García Sampedro, Luis",1892-1926,1892-1926
"García Terán, Manuel",1909,1951
"García Urturi, Felipe",1889,1951
"García y Alcázar, Lino",1856-1887,1856-1887
"García y Díaz, Domingo",1855-1881,1855-1881
"García y García, Juan José",1893,1930
"García y González del Valle, Agustín",1892-1899,1892-1899
"García, Juan",1879-1882,1879-1882
"Gargallo Guerrero, José",1904,1947
"Garrell Soto, Amador",1917,1990
"Garza, Ciriaco de la",1890-1912,1890-1912
"Gasch, Luis",1881-1887,1881-1887
"Gasis, Pedro",1870,1892
"Gibert Roig, Pau (or Pablo)",1853,1892
"Gil Bergasa, Justino",1890,1919
"Gil Sala, Ignasi (or Ignacio)",1913,1990
"Giménez Fernández de la Rosa, Magdalena",1871,1951
"Giménez Giménez, Joan (or Juan)",1912,1945
"Giménez Valls, Francesc (or Francisco)",1904,1944
"Giner y Vidal, Vicente",1858,1897
"Ginjaume Lacampre, María",1907,1907
"Giralt, Augustín",1878,1878
"Gomà Boronat, Ferran (or Fernando)",1906,1977
"Gómez Gimeno, Ricardo",1892,1951
"Gómez Martín, Eduardo",1897,1897
"Gómez Plasent, Vicente",1881-1888,1881-1888
"Gómez-Acebo Vázquez, Javier",1902,1972
"González Billón, José",1895-1927,1895-1927
"González Bolívar, Pedro",1874-doc.1902,1874-doc.1902
"González Cardemio, José",1927,1927
"González Correa, Eduardo",1927,1927
"González Esmenota, Manuel",1881,1897
"González Gallego, Antonio",1908-op.1924,1908-op.1924
"González Ibaseta, Joaquín",1884,1925
"González Moreno, Juan",1908,1989
"González Olóriz, Luis",1914,1951
"González Prieto, Fermín",1900,1986
"González y Fernández, Victorino",1855,1906
"Gorostiza Gongueta, Juan",1897,1970
"Goussef, Victor (or Viktor) Kallinik",1893,1950
"Grajera, Leopoldo",1919,1951
"Graner y Viñuelas, Antonio",1876-1904,1876-1904
"Guardiola Torregrosa, Josep (or José)",1904,1983
