WNAM,FEM
Alejo de Vahía,
"Alemán the Elder, Juan",
"Alemán the Younger, Juan",
"Alemán, Melchor (or Melchior)",
"Alemán, Rodrigo",
"Alemani Font, Trinidad",
"Alemany, Pere (or Pedro)",
"Alentorn, Eduardo B.",
"Alenza y Nieto, Leonardo",
"Aleu Socies, Marc",
"Aleu Teixidor, Andreu (or Andrés)",
"Alexander, Enrique (or Enric)",
"Alexandre Ezquerra, José",
"Alexandre, Alejandro",
"Alexandre, Fernando",
"Alfaro Hernández, Andreu (or Andrés)",
"Alfaro y Brieva, Nicolás",
"Alfaro y Gámez, Juan",
"Alfaro, Francisco de",
"Algarra y Hurtado, Cosme",
"Algueró Nicoli, Pedro",
"Aliaga Romagosa, Emilio",
"Alincbrot, Louis (or Lodewijk, or Luis)",
"Alliincbrod, Joris (or Georges, or Jordi, or Jorkin)",
"Almagro López, Juan",
"Almela Costa, José María (or Josep María)",
"Almonacid, Sebastián de",
"Almuni Gol, Francesc (or Francesco, or Francisco)",
"Alonso de los Ríos, Francisco",
"Alonso de los Ríos, Pedro",
"Alonso de Zamora, Fray",
"Alonso Pérez y Villagrosa, Mariano",
"Alonso Torres, Lamberto",
"Alonso, Angel",
"Alonso, Diego",
"Alonso, Francisco",
"Alonso, Lorenzo",
"Alonso, Manuel",
"Alonso, Mariano",
"Alorda Pérez, Ramon",
"Alós Serra, Ricardo",
Alouns,
"Alpériz, Nicolás",
"Alsamora, Onofre",
"Alsina Amils, Antonio (or Antoni)",
"Alsina Amils, Ramón",
"Alsina Cuxart, Lluís",
"Altadell, Gabriel (or Gabriele)",
"Altamirano, Juan de",
"Alvarado de Rivas, Salvador",
"Alvarez Ajuria, Matías",
"Alvarez Albarrán, Alonso",
"Alvarez Algeciras, Germán",
"Alvarez Armesto, Primitivo",
"Alvarez Blanco, Rodrigo",
"Alvarez Bouquel, Aníbal",
"Alvarez Bouquel, José",
"Alvarez Catalá, Luis (or Lluis)",
"Alvarez Cubero, José",
"Alvarez de Estrada, Juan",
"Alvarez de la Peña, Manuel Francisco",
"Alvarez de Molina, Juan",
"Alvarez de Sotomayor y Zaragoza, Fernando",
"Alvarez Díaz, Emilio",
"Alvarez Dumont, César",
"Alvarez Dumont, Eugenio",
"Alvarez Enciso, Domingo",
"Alvarez Fernández, José",
