"García del Corral, Federico (or Frederik)","1877,1887"
"García Díaz, Angel",1911
"García Espínola, Ramón",1871
"García González, Manuel",1926
"García Lema, Pedro",1980
"García López, Antonio","1884,1899"
"García Martínez, Emilio",1957
"García Morales, Antonio",1957
"García Oliver, Luis (or Lluís)",1951
"García Ortiz, Francisco Javier",1951
"García Patiño, Mariano",1957
"García Salazar, Miguel","1898,1901"
"García Sampedro, Luis","1892,1926"
"García Terán, Manuel",1951
"García Urturi, Felipe",1951
"García y Alcázar, Lino","1856,1887"
"García y Díaz, Domingo","1855,1881"
"García y García, Juan José",1930
"García y González del Valle, Agustín","1892,1899"
"García, Juan","1879,1882"
"Gargallo Guerrero, José",1947
"Garrell Soto, Amador",1990
"Garza, Ciriaco de la","1890,1912"
"Gasch, Luis","1881,1887"
"Gasis, Pedro",1892
"Gibert Roig, Pau (or Pablo)",1892
"Gil Bergasa, Justino",1919
"Gil Sala, Ignasi (or Ignacio)",1990
"Giménez Fernández de la Rosa, Magdalena",1951
"Giménez Giménez, Joan (or Juan)",1945
"Giménez Valls, Francesc (or Francisco)",1944
"Giner y Vidal, Vicente",1858
"Ginjaume Lacampre, María",1907
"Giralt, Augustín",1878
"Gomà Boronat, Ferran (or Fernando)",1977
"Gómez Gimeno, Ricardo",1951
"Gómez Martín, Eduardo",1897
"Gómez Plasent, Vicente","1881,1888"
"Gómez-Acebo Vázquez, Javier",1972
"González Billón, José","1895,1927"
"González Bolívar, Pedro","1874,doc.1902"
"González Cardemio, José",1927
"González Correa, Eduardo",1927
"González Esmenota, Manuel",1881
"González Gallego, Antonio","1908,op.1924"
"González Ibaseta, Joaquín",1884
"González Moreno, Juan",1989
"González Olóriz, Luis",1951
"González Prieto, Fermín",1986
"González y Fernández, Victorino",1906
"Gorostiza Gongueta, Juan",1970
"Goussef, Victor (or Viktor) Kallinik",1950
"Grajera, Leopoldo",1951
"Graner y Viñuelas, Antonio","1876,1904"
"Guardiola Torregrosa, Josep (or José)",1983
"Guerrero Carmona, Rafael","1882,[doc.1884"
"Gutiérrez Rivera, Francisco","1892,op.1899"
"Guzmán, Jorge",1951
"Guzmán, Juan Bautista","1876,op.1895"
"Haza y Astier, José de la",1906
"Hernández, Amado",1927
"Herreros de Tejada, Luis",1890
"Hoyo y González, Jose María del","1910,1926"
"Huarte Mendicoa y Marín, Vicente",1910
"Hurtado y Corral, Carlos","1871,1899"
"Hurtado, Vicente",1868
"Ibáñez Belda, Martín","1892,1895"
"Ibáñez Flórez, Eduardo","1871,1889"
"Ibáñez García de Lara, Vicente",1932
"Iglesias Recio, Manuel","1904,1908"
"Iniesta Soto, Pedro","1880,1922"
"Isern Solé, Ramon",1954
"Izquierdo Cid, Carlos",1944
"Izquierdo, Vicente","1858,1884"
"Jansana de Anzizu, Josep Oriol (or José Oriol)",1974
"Jener Carreras, Eduard (or Eduardo)",1944
"Jiménez Fernández, Federico",1895
"Jiménez Pez, Marino",1878
"Jiménez, Antonio","1930,1932"
"Jiménez, Guillermo",1878
"Jiménez, Juan Miguel",1927
"Juliá Entraigues, Rafael","1873,1897"
"Juliá Ventura, Francesc (or Francisco)",1980
"Juliá y Carrere, Luis",1864
"Kaperotxipi, Mauricio Flores",1991
"Lafuente, Ramiro",1884
"Laguardia, Jorge","1880,1882"
"Lagunas, Santiago",1993
"Lambla, Julio","1871,1873"
"Lantada Bucy, Jesús","1920,1926"
"Lara y García, Eustasio",1892
"Larmig, Luis","1887,1897"
"Larrauri Marquínez, José Mateo",1924
"Leemans Dobbeleere, Jean Humbert",1984
"Legua Ibáñez, Francisco",1887
"Lema y Rozones, Manuel de",1878
"León Callejas, Vicente",1906
"Les Bustamante, Santiago de",1951
"Linde, Paulino de la",1862
"Llavata Machinant, Luis",1951
"Lleó e Ibars, Trino",1901
"Lleonart, Benito",1890
"Llobet Banús, Tomás",1923
"Llongarriu, Salvador",1917
"Llor Casanovas, Joan (or Juan)",1944
"Longoria y Leal, Manuel","1890,1895"
"López de Montenegro y Tejada, Antonio",1957
"López Fernández, Rogelio",1927
"López Rubio, Francisco","1915,1933"
"López Ruiz, Manuel",1951
"López-Roberts y Muguiro, María de los Angeles","1920,1963"
"Lorda, José María",1951
"Lorenzo Solís, José de",1976
"Lozano Sanchís, Francisco",1993
"Lozano y Rodríguez, Eduardo","1887,1927"
"Ludeña, Angel Lucio","1862,1866"
"Madrid Roberts, Roberto",1944
"Maicas Puigardeu, Vicenç (or Vicente)",1950
"Malla, Gaudencio",1901
"Mallafré Guasch, Lluís (or Luis)",1979
"Mandilego, Matías",1984
"Manresa, José María","1874,1884"
"Manzanet, Ricardo",1888
"Marced Furió, José",1926
"Marco Ferrer, Ernesto (or Ernest)",1983
"Marín López, Diego",1890
"Marín Ramos, Eustaquio",1917
"Marinel.lo Capdevila, Antoni",1984
"Marinel.lo Capdevila, Ramon",1994
"Marqués Castellar, Antoní (or Antonio)",1951
"Martí Caballero, Ramon",1983
"Martí Jordana, Josep Maria",1946
"Martín Bueno, Joaquín",1951
"Martín González, Julio",1941
"Martín González, Manuel",1951
"Martín Laurel, Eugenio","1897,1901"
"Martín, Enrique","1856,[doc.1884"
"Martínez Almeida, Carlos",1951
"Martínez Andrés, Antonio",1945
"Martínez Cabezas, Arturo",1950
"Martínez Díaz, Rafael",1977
"Martínez Jerez, Miguel",1899
"Martínez Penella, Antonio",1948
"Martínez Salamanca, Lázaro",1944
"Martínez Sierra, Benito Jesús","1897,1901"
"Martínez y Vargas Machuca, Luis",1895
"Martos Ortiz, Rufino",1944
"Mas Mas, Ramon",1983
"Mas y Carrasco, Francisco","1884,1895"
"Maspóns Ortega, Alejandro",1944
"Matia Pascual, Juan",1951
"Matoses Català, Consuelo",1944
"Matute Parga, Benigno","1897,1899"
"Mayol Treserra, Lluís",1946
"Mazuelos, José Luis",1951
"Medina Castro, José Luis",1988
"Meifrén Pajarín, Javier",1944
"Meléndez y Conejo, Gerardo",1876
"Mellado, Federico",1951
"Méndez, Sebastián",1951
"Mensa Salas, Manuel (or Manel)",1929
"Mercar, Antonio",1808
"Merenciano Puchol, Francisco",1934
"Merino Martínez, Antonio",1951
"Millà Rigol, Angel",1982
"Millán Ferriz, Emilio",1871
"Millán, Francisco",1804
"Millán, Francisco",1837
"Millas, Isidoro (or Isidro)","1897,1899"
"Mingo López, Carlos",1924
"Mingorance Navas, Juan Eugenio",1987
"Mirabent Soler, Antonio",1898
