RN,FRECN,ALT,authority,search,authimport
2133,1079,"Guiteres, Juan Cabrinety*","Cabrinety Guiteres, Juan (or Joan)","Guiteres, Juan Cabrinety*;  Cabrinety Guiteres, Juan (or Joan)","Cabrinety Guiteres, Juan (or Joan)"
203,108,"Dumont, Eugenio Alvarez*","Alvarez Dumont, Eugenio","Dumont, Eugenio Alvarez*;  Alvarez Dumont, Eugenio","Alvarez Dumont, Eugenio"
2134,1080,"Floré, Franc","Frutet, Francisco (or Francesco, or Frans)","Floré, Franc;  Frutet, Francisco (or Francesco, or Frans)","Frutet, Francisco (or Francesco, or Frans)"
2135,1080,"Flores, Antonio","Frutet, Francisco (or Francesco, or Frans)","Flores, Antonio;  Frutet, Francisco (or Francesco, or Frans)","Frutet, Francisco (or Francesco, or Frans)"
2136,1080,"Flores, Francisco","Frutet, Francisco (or Francesco, or Frans)","Flores, Francisco;  Frutet, Francisco (or Francesco, or Frans)","Frutet, Francisco (or Francesco, or Frans)"
2137,1080,Frutet,"Frutet, Francisco (or Francesco, or Frans)","Frutet;  Frutet, Francisco (or Francesco, or Frans)","Frutet, Francisco (or Francesco, or Frans)"
2138,1081,"Alarcón, José (María)","Alarcón y Cáceres, José María","Alarcón, José (María);  Alarcón y Cáceres, José María","Alarcón y Cáceres, José María"
2139,1081,"Alarcón y Cárceles, José María","Alarcón y Cáceres, José María","Alarcón y Cárceles, José María;  Alarcón y Cáceres, José María","Alarcón y Cáceres, José María"
2140,1081,"Cáceres, José María Alarcón*","Alarcón y Cáceres, José María","Cáceres, José María Alarcón*;  Alarcón y Cáceres, José María","Alarcón y Cáceres, José María"
2141,1082,"Blasco, Vicente Albarranch*","Albarranch Blasco, Vicente (or Vicent)","Blasco, Vicente Albarranch*;  Albarranch Blasco, Vicente (or Vicent)","Albarranch Blasco, Vicente (or Vicent)"
2142,1083,"Gallego, Eduardo Camacho*","Camacho y Gallego, Eduardo","Gallego, Eduardo Camacho*;  Camacho y Gallego, Eduardo","Camacho y Gallego, Eduardo"
2143,1084,Galiana Master,Master of the Obispo Galiana,Galiana Master;  Master of the Obispo Galiana,Master of the Obispo Galiana
2144,1085,"Romagosa, Emilio Aliaga*","Aliaga Romagosa, Emilio","Romagosa, Emilio Aliaga*;  Aliaga Romagosa, Emilio","Aliaga Romagosa, Emilio"
2145,1086,"Camarón, María Elena","Camarón, Elena","Camarón, María Elena;  Camarón, Elena","Camarón, Elena"
2146,1086,"Camarón y Navarro, María de la Asunción Elena","Camarón, Elena","Camarón y Navarro, María de la Asunción Elena;  Camarón, Elena","Camarón, Elena"
2147,1086,"Navarro, María de la Asunción Elena Camarón*","Camarón, Elena","Navarro, María de la Asunción Elena Camarón*;  Camarón, Elena","Camarón, Elena"
2148,1087,"López, José Albiol*","Albiol López, José","López, José Albiol*;  Albiol López, José","Albiol López, José"
2149,1089,"Campesino, Vicente","Campesino y Mingo, Vicente","Campesino, Vicente;  Campesino y Mingo, Vicente","Campesino y Mingo, Vicente"
2150,1089,"Mingo, Vicente Campesino*","Campesino y Mingo, Vicente","Mingo, Vicente Campesino*;  Campesino y Mingo, Vicente","Campesino y Mingo, Vicente"
204,109,"Alvarez, Domingo","Alvarez Enciso, Domingo","Alvarez, Domingo;  Alvarez Enciso, Domingo","Alvarez Enciso, Domingo"
205,109,"Alvarezenciso, Domingo","Alvarez Enciso, Domingo","Alvarezenciso, Domingo;  Alvarez Enciso, Domingo","Alvarez Enciso, Domingo"
206,109,"Enciso, Domingo Alvarez*","Alvarez Enciso, Domingo","Enciso, Domingo Alvarez*;  Alvarez Enciso, Domingo","Alvarez Enciso, Domingo"
2151,1090,Aldaz,"Aldaz y Sancho, Juan","Aldaz;  Aldaz y Sancho, Juan","Aldaz y Sancho, Juan"
2152,1090,"Aldaz y Sánchez, Juan","Aldaz y Sancho, Juan","Aldaz y Sánchez, Juan;  Aldaz y Sancho, Juan","Aldaz y Sancho, Juan"
2153,1090,"Sancho, Juan Aldaz*","Aldaz y Sancho, Juan","Sancho, Juan Aldaz*;  Aldaz y Sancho, Juan","Aldaz y Sancho, Juan"
2154,1092,"Alea Rodríguez, José","Aleas Rodríguez, José","Alea Rodríguez, José;  Aleas Rodríguez, José","Aleas Rodríguez, José"
2155,1092,"Rodríguez, José Aleas*","Aleas Rodríguez, José","Rodríguez, José Aleas*;  Aleas Rodríguez, José","Aleas Rodríguez, José"
2156,1093,"Alemany Font, Trinitat","Alemani Font, Trinidad","Alemany Font, Trinitat;  Alemani Font, Trinidad","Alemani Font, Trinidad"
2157,1093,"Font, Trinitat Alemani*","Alemani Font, Trinidad","Font, Trinitat Alemani*;  Alemani Font, Trinidad","Alemani Font, Trinidad"
2158,1094,"Camps, Emili Casals*","Casals Camps, Emili (or Emilio)","Camps, Emili Casals*;  Casals Camps, Emili (or Emilio)","Casals Camps, Emili (or Emilio)"
2159,1094,"Casals, Emili","Casals Camps, Emili (or Emilio)","Casals, Emili;  Casals Camps, Emili (or Emilio)","Casals Camps, Emili (or Emilio)"
2160,1094,"Casals y Cams, Emilio","Casals Camps, Emili (or Emilio)","Casals y Cams, Emilio;  Casals Camps, Emili (or Emilio)","Casals Camps, Emili (or Emilio)"
2161,1096,"Alfaro, Nicolás","Alfaro y Brieva, Nicolás","Alfaro, Nicolás;  Alfaro y Brieva, Nicolás","Alfaro y Brieva, Nicolás"
2162,1096,"Brieva, Nicolás Alfaro*","Alfaro y Brieva, Nicolás","Brieva, Nicolás Alfaro*;  Alfaro y Brieva, Nicolás","Alfaro y Brieva, Nicolás"
2163,1097,"López, Juan Almagro*","Almagro López, Juan","López, Juan Almagro*;  Almagro López, Juan","Almagro López, Juan"
26,11,"Agustí Grande, Francesc (or Francisco)","Agustín y Grande, Francisco","Agustí Grande, Francesc (or Francisco);  Agustín y Grande, Francisco","Agustín y Grande, Francisco"
27,11,"Agustín, Francisco","Agustín y Grande, Francisco","Agustín, Francisco;  Agustín y Grande, Francisco","Agustín y Grande, Francisco"
28,11,"Agustín Granda, Francisco","Agustín y Grande, Francisco","Agustín Granda, Francisco;  Agustín y Grande, Francisco","Agustín y Grande, Francisco"
29,11,"Grande, Francisco Agustín*","Agustín y Grande, Francisco","Grande, Francisco Agustín*;  Agustín y Grande, Francisco","Agustín y Grande, Francisco"
207,110,"Estrada, Juan Alvarez de*","Alvarez de Estrada, Juan","Estrada, Juan Alvarez de*;  Alvarez de Estrada, Juan","Alvarez de Estrada, Juan"
2164,1100,"Fernández, José Alvarez*","Alvarez Fernández, José","Fernández, José Alvarez*;  Alvarez Fernández, José","Alvarez Fernández, José"
2165,1102,"Díaz, Emilio Alvarez*","Alvarez Díaz, Emilio","Díaz, Emilio Alvarez*;  Alvarez Díaz, Emilio","Alvarez Díaz, Emilio"
2166,1103,"Rivas, Salvador Alvarado de*","Alvarado de Rivas, Salvador","Rivas, Salvador Alvarado de*;  Alvarado de Rivas, Salvador","Alvarado de Rivas, Salvador"
2167,1104,"Bertuchi, Mariano","Bertuchi Nieto, Mariano","Bertuchi, Mariano;  Bertuchi Nieto, Mariano","Bertuchi Nieto, Mariano"
2168,1104,"Nieto, Mariano Bertuchi*","Bertuchi Nieto, Mariano","Nieto, Mariano Bertuchi*;  Bertuchi Nieto, Mariano","Bertuchi Nieto, Mariano"
2169,1105,"Alsina Cuixart, Lluis","Alsina Cuxart, Lluís","Alsina Cuixart, Lluis;  Alsina Cuxart, Lluís","Alsina Cuxart, Lluís"
2170,1105,"Cuxart, Lluís Alsina*","Alsina Cuxart, Lluís","Cuxart, Lluís Alsina*;  Alsina Cuxart, Lluís","Alsina Cuxart, Lluís"
2171,1106,"Béjar, P.A.","Béjar Novella, Pablo Antonio","Béjar, P.A.;  Béjar Novella, Pablo Antonio","Béjar Novella, Pablo Antonio"
2172,1106,"Béjar, Pablo (Antonio)","Béjar Novella, Pablo Antonio","Béjar, Pablo (Antonio);  Béjar Novella, Pablo Antonio","Béjar Novella, Pablo Antonio"
2173,1106,"Béjar Novella, Pau A.","Béjar Novella, Pablo Antonio","Béjar Novella, Pau A.;  Béjar Novella, Pablo Antonio","Béjar Novella, Pablo Antonio"
2174,1106,"Novella, Pablo Antonio Béjar*","Béjar Novella, Pablo Antonio","Novella, Pablo Antonio Béjar*;  Béjar Novella, Pablo Antonio","Béjar Novella, Pablo Antonio"
2175,1108,"Amérigo, Federico","Amérigo Rouviere, Federico","Amérigo, Federico;  Amérigo Rouviere, Federico","Amérigo Rouviere, Federico"
2176,1108,"Rouviere, Federico Amérigo*","Amérigo Rouviere, Federico","Rouviere, Federico Amérigo*;  Amérigo Rouviere, Federico","Amérigo Rouviere, Federico"
2177,1109,"Morales, Ramón Amérigo*","Amérigo Morales, Ramón","Morales, Ramón Amérigo*;  Amérigo Morales, Ramón","Amérigo Morales, Ramón"
208,111,"Alvarez Laviada y Alzueta, Manuel","Alvarez Laviada, Manuel","Alvarez Laviada y Alzueta, Manuel;  Alvarez Laviada, Manuel","Alvarez Laviada, Manuel"
209,111,"Laviada, Manuel Alvarez*","Alvarez Laviada, Manuel","Laviada, Manuel Alvarez*;  Alvarez Laviada, Manuel","Alvarez Laviada, Manuel"
2178,1110,"Bello Piñeiro, Felipe Benito","Bello Piñeiro, Felipe","Bello Piñeiro, Felipe Benito;  Bello Piñeiro, Felipe","Bello Piñeiro, Felipe"
2179,1110,"Piñeiro, Felipe Bello*","Bello Piñeiro, Felipe","Piñeiro, Felipe Bello*;  Bello Piñeiro, Felipe","Bello Piñeiro, Felipe"
2180,1111,"Ferriol, Manuel Bellver*","Bellver Ferriol, Manuel","Ferriol, Manuel Bellver*;  Bellver Ferriol, Manuel","Bellver Ferriol, Manuel"
2181,1113,"Igual, Enrique","Igual Ruiz, Enrique","Igual, Enrique;  Igual Ruiz, Enrique","Igual Ruiz, Enrique"
2182,1113,Igual Ruiz,"Igual Ruiz, Enrique","Igual Ruiz;  Igual Ruiz, Enrique","Igual Ruiz, Enrique"
2183,1113,"Ruiz, Enrique Igual*","Igual Ruiz, Enrique","Ruiz, Enrique Igual*;  Igual Ruiz, Enrique","Igual Ruiz, Enrique"
2184,1114,"Berga, José","Berga Boix, Josep (or José)","Berga, José;  Berga Boix, Josep (or José)","Berga Boix, Josep (or José)"
2185,1114,"Boix, Josep Berga i","Berga Boix, Josep (or José)","Boix, Josep Berga i;  Berga Boix, Josep (or José)","Berga Boix, Josep (or José)"
2186,1115,"Antonio, Pedro","Antonio Martínez, Pedro","Antonio, Pedro;  Antonio Martínez, Pedro","Antonio Martínez, Pedro"
2187,1115,"Martínez, Pedro Antonio*","Antonio Martínez, Pedro","Martínez, Pedro Antonio*;  Antonio Martínez, Pedro","Antonio Martínez, Pedro"
2188,1117,"Bianqui, Octavio","Bianqui Sánchez, Octavio","Bianqui, Octavio;  Bianqui Sánchez, Octavio","Bianqui Sánchez, Octavio"
2189,1117,"Sánchez, Octavio Bianqui*","Bianqui Sánchez, Octavio","Sánchez, Octavio Bianqui*;  Bianqui Sánchez, Octavio","Bianqui Sánchez, Octavio"
2190,1118,"Apellániz, Jesús","Apellániz López, Jesús","Apellániz, Jesús;  Apellániz López, Jesús","Apellániz López, Jesús"
2191,1118,"López, Jesús Apellániz*","Apellániz López, Jesús","López, Jesús Apellániz*;  Apellániz López, Jesús","Apellániz López, Jesús"
2192,1119,Ardanaz,"Ardanaz, Pío","Ardanaz;  Ardanaz, Pío","Ardanaz, Pío"
210,112,"Amadeu y Bernadet, Ramón","Amado Bernadet, Ramón","Amadeu y Bernadet, Ramón;  Amado Bernadet, Ramón","Amado Bernadet, Ramón"
211,112,"Amado, Ramon","Amado Bernadet, Ramón","Amado, Ramon;  Amado Bernadet, Ramón","Amado Bernadet, Ramón"
212,112,"Amado y Bernardet, Ramón","Amado Bernadet, Ramón","Amado y Bernardet, Ramón;  Amado Bernadet, Ramón","Amado Bernadet, Ramón"
213,112,"Bernadet, Ramón Amado*","Amado Bernadet, Ramón","Bernadet, Ramón Amado*;  Amado Bernadet, Ramón","Amado Bernadet, Ramón"
2193,1120,"Blanco, Salvador Arias*","Arias Blanco, Salvador","Blanco, Salvador Arias*;  Arias Blanco, Salvador","Arias Blanco, Salvador"
2194,1121,"Olives, José Ariet*","Ariet Olives, José (or Josep)","Olives, José Ariet*;  Ariet Olives, José (or Josep)","Ariet Olives, José (or Josep)"
2195,1122,"Arfe, A. de","Arfe the Elder, Antonio de","Arfe, A. de;  Arfe the Elder, Antonio de","Arfe the Elder, Antonio de"
2196,1122,"Arfe, Antonio","Arfe the Elder, Antonio de","Arfe, Antonio;  Arfe the Elder, Antonio de","Arfe the Elder, Antonio de"
2197,1122,"Arfe I, Antonio de","Arfe the Elder, Antonio de","Arfe I, Antonio de;  Arfe the Elder, Antonio de","Arfe the Elder, Antonio de"
2198,1122,"Arphe, Antonio de","Arfe the Elder, Antonio de","Arphe, Antonio de;  Arfe the Elder, Antonio de","Arfe the Elder, Antonio de"
2199,1122,"Arphe I, Antonio de","Arfe the Elder, Antonio de","Arphe I, Antonio de;  Arfe the Elder, Antonio de","Arfe the Elder, Antonio de"
2200,1123,"Arregui, Román","Arregui, Romana","Arregui, Román;  Arregui, Romana","Arregui, Romana"
2201,1126,"Arozarena, Salustiano Asenjo*","Asenjo Arozarena, Salustiano (or Sallustià, or Salustià)","Arozarena, Salustiano Asenjo*;  Asenjo Arozarena, Salustiano (or Sallustià, or Salustià)","Asenjo Arozarena, Salustiano (or Sallustià, or Salustià)"
2202,1126,"Asenjo, Salustiano","Asenjo Arozarena, Salustiano (or Sallustià, or Salustià)","Asenjo, Salustiano;  Asenjo Arozarena, Salustiano (or Sallustià, or Salustià)","Asenjo Arozarena, Salustiano (or Sallustià, or Salustià)"
2203,1128,"Atenza, R.","Atenza, Ramón","Atenza, R.;  Atenza, Ramón","Atenza, Ramón"
2204,1129,"Avendano Fernández, Donato","Avendaño Fernández, Donato","Avendano Fernández, Donato;  Avendaño Fernández, Donato","Avendaño Fernández, Donato"
2205,1129,"Avendaño, Donato","Avendaño Fernández, Donato","Avendaño, Donato;  Avendaño Fernández, Donato","Avendaño Fernández, Donato"
2206,1129,"Fernández, Donato Avendaño*","Avendaño Fernández, Donato","Fernández, Donato Avendaño*;  Avendaño Fernández, Donato","Avendaño Fernández, Donato"
214,113,"Algueró, Rafael Amaré*","Amaré, Rafael","Algueró, Rafael Amaré*;  Amaré, Rafael","Amaré, Rafael"
215,113,"Amaré y Algueró, Rafael","Amaré, Rafael","Amaré y Algueró, Rafael;  Amaré, Rafael","Amaré, Rafael"
2207,1131,"Puig, Genís Capdevila*","Capdevila Puig, Genís (or Ginés)","Puig, Genís Capdevila*;  Capdevila Puig, Genís (or Ginés)","Capdevila Puig, Genís (or Ginés)"
2208,1132,"Mas, Juan Cantó*","Cantó y Mas, Juan (or Joan)","Mas, Juan Cantó*;  Cantó y Mas, Juan (or Joan)","Cantó y Mas, Juan (or Joan)"
2209,1133,"Balagueró, Francesc Canyellas*","Canyellas Balagueró, Francesc (or Francisco)","Balagueró, Francesc Canyellas*;  Canyellas Balagueró, Francesc (or Francisco)","Canyellas Balagueró, Francesc (or Francisco)"
2210,1133,"Canyelles, Francesc","Canyellas Balagueró, Francesc (or Francisco)","Canyelles, Francesc;  Canyellas Balagueró, Francesc (or Francisco)","Canyellas Balagueró, Francesc (or Francisco)"
2211,1133,"Canyelles i Balagueró, Francesc","Canyellas Balagueró, Francesc (or Francisco)","Canyelles i Balagueró, Francesc;  Canyellas Balagueró, Francesc (or Francisco)","Canyellas Balagueró, Francesc (or Francisco)"
2212,1134,"Canaveral y Pérez, Enrique","Cañaveral y Pérez, Enrique","Canaveral y Pérez, Enrique;  Cañaveral y Pérez, Enrique","Cañaveral y Pérez, Enrique"
2213,1134,"Pérez, Enrique Cañaveral*","Cañaveral y Pérez, Enrique","Pérez, Enrique Cañaveral*;  Cañaveral y Pérez, Enrique","Cañaveral y Pérez, Enrique"
2214,1135,"Artía, Bernardino Bienabe","Bienabe Artía, Bernardino","Artía, Bernardino Bienabe;  Bienabe Artía, Bernardino","Bienabe Artía, Bernardino"
2215,1136,"Blanco, Virginia","Blanco, Virgilio (or Virxilio)","Blanco, Virginia;  Blanco, Virgilio (or Virxilio)","Blanco, Virgilio (or Virxilio)"
2216,1136,"Blanco Garrido, Virgilio","Blanco, Virgilio (or Virxilio)","Blanco Garrido, Virgilio;  Blanco, Virgilio (or Virxilio)","Blanco, Virgilio (or Virxilio)"
2217,1136,"Garrido, Virgilio Blanco*","Blanco, Virgilio (or Virxilio)","Garrido, Virgilio Blanco*;  Blanco, Virgilio (or Virxilio)","Blanco, Virgilio (or Virxilio)"
2218,1137,"Blanco, Rafael","Blanco Merino, Rafael","Blanco, Rafael;  Blanco Merino, Rafael","Blanco Merino, Rafael"
2219,1137,"Merino, Rafael Blanco*","Blanco Merino, Rafael","Merino, Rafael Blanco*;  Blanco Merino, Rafael","Blanco Merino, Rafael"
2220,1138,"Fonell, Jaime","Forner, Jaume (or Jaime)","Fonell, Jaime;  Forner, Jaume (or Jaime)","Forner, Jaume (or Jaime)"
2221,1139,"Boada Matas, Casi (or Casio)","Boada Matas, Casimiro (or Casimir)","Boada Matas, Casi (or Casio);  Boada Matas, Casimiro (or Casimir)","Boada Matas, Casimiro (or Casimir)"
2222,1139,"Matas, Casimiro Boada*","Boada Matas, Casimiro (or Casimir)","Matas, Casimiro Boada*;  Boada Matas, Casimiro (or Casimir)","Boada Matas, Casimiro (or Casimir)"
216,114,"Amat, José (or Josep)","Amat Pagés, José (or Josep)","Amat, José (or Josep);  Amat Pagés, José (or Josep)","Amat Pagés, José (or Josep)"
217,114,Bin (pseud.),"Amat Pagés, José (or Josep)","Bin (pseud.);  Amat Pagés, José (or Josep)","Amat Pagés, José (or Josep)"
218,114,"Pagés, Josep Amat i","Amat Pagés, José (or Josep)","Pagés, Josep Amat i;  Amat Pagés, José (or Josep)","Amat Pagés, José (or Josep)"
219,114,Pin (pseud.),"Amat Pagés, José (or Josep)","Pin (pseud.);  Amat Pagés, José (or Josep)","Amat Pagés, José (or Josep)"
2223,1140,"Aguilar, Francisco Boigas*","Boigas Aguilar, Francisco","Aguilar, Francisco Boigas*;  Boigas Aguilar, Francisco","Boigas Aguilar, Francisco"
2224,1141,"Serrat, Laureano Bonet*","Bonet Serrat, Laureano (or Laureà)","Serrat, Laureano Bonet*;  Bonet Serrat, Laureano (or Laureà)","Bonet Serrat, Laureano (or Laureà)"
2225,1142,Bon (pseud.),"Bonet Sintes, Román (or Romà)","Bon (pseud.);  Bonet Sintes, Román (or Romà)","Bonet Sintes, Román (or Romà)"
2226,1142,"Bonet, Romá (or Román)","Bonet Sintes, Román (or Romà)","Bonet, Romá (or Román);  Bonet Sintes, Román (or Romà)","Bonet Sintes, Román (or Romà)"
2227,1142,Net (pseud.),"Bonet Sintes, Román (or Romà)","Net (pseud.);  Bonet Sintes, Román (or Romà)","Bonet Sintes, Román (or Romà)"
2228,1142,X. Rei (pseud.),"Bonet Sintes, Román (or Romà)","X. Rei (pseud.);  Bonet Sintes, Román (or Romà)","Bonet Sintes, Román (or Romà)"
2229,1142,"Sintes, Román Bonet*","Bonet Sintes, Román (or Romà)","Sintes, Román Bonet*;  Bonet Sintes, Román (or Romà)","Bonet Sintes, Román (or Romà)"
2230,1143,"Capulino, Joaquín","Capulino Jáuregui, Joaquín","Capulino, Joaquín;  Capulino Jáuregui, Joaquín","Capulino Jáuregui, Joaquín"
2231,1143,Capulino Jáuregui,"Capulino Jáuregui, Joaquín","Capulino Jáuregui;  Capulino Jáuregui, Joaquín","Capulino Jáuregui, Joaquín"
2232,1143,"Jáuregui, Joaquín Capulino*","Capulino Jáuregui, Joaquín","Jáuregui, Joaquín Capulino*;  Capulino Jáuregui, Joaquín","Capulino Jáuregui, Joaquín"
2233,1144,"Bonilla (y, or i) Martínez, José María","Bonilla, José María","Bonilla (y, or i) Martínez, José María;  Bonilla, José María","Bonilla, José María"
2234,1144,"Martínez, José María Bonilla*","Bonilla, José María","Martínez, José María Bonilla*;  Bonilla, José María","Bonilla, José María"
2235,1145,"Carazo, José","Carazo Martínez, José","Carazo, José;  Carazo Martínez, José","Carazo Martínez, José"
2236,1145,"Martínez, José Carazo*","Carazo Martínez, José","Martínez, José Carazo*;  Carazo Martínez, José","Carazo Martínez, José"
2237,1146,"Piñol, Gerard Carbonell*","Carbonell Piñol, Gerard (or Gerardo)","Piñol, Gerard Carbonell*;  Carbonell Piñol, Gerard (or Gerardo)","Carbonell Piñol, Gerard (or Gerardo)"
2238,1147,"Cardunet, Alexandre","Cardunets Cazorla, Alejandro (or Alexandre)","Cardunet, Alexandre;  Cardunets Cazorla, Alejandro (or Alexandre)","Cardunets Cazorla, Alejandro (or Alexandre)"
2239,1147,"Cardunets, Alejandro (or Alexandre)","Cardunets Cazorla, Alejandro (or Alexandre)","Cardunets, Alejandro (or Alexandre);  Cardunets Cazorla, Alejandro (or Alexandre)","Cardunets Cazorla, Alejandro (or Alexandre)"
2240,1147,"Cazorla, Alejando Cardunets*","Cardunets Cazorla, Alejandro (or Alexandre)","Cazorla, Alejando Cardunets*;  Cardunets Cazorla, Alejandro (or Alexandre)","Cardunets Cazorla, Alejandro (or Alexandre)"
2241,1149,"Mundi, Luisa Botet*","Botet Mundi, Luisa (or Lluïsa)","Mundi, Luisa Botet*;  Botet Mundi, Luisa (or Lluïsa)","Botet Mundi, Luisa (or Lluïsa)"
220,115,"Amat, Gabriel","Amat Pagés, Gabriel","Amat, Gabriel;  Amat Pagés, Gabriel","Amat Pagés, Gabriel"
221,115,"Pagés, Gabriel Amat*","Amat Pagés, Gabriel","Pagés, Gabriel Amat*;  Amat Pagés, Gabriel","Amat Pagés, Gabriel"
2242,1150,"Alvaro, Cristóbal Bou*","Bou Alvaro, Cristóbal","Alvaro, Cristóbal Bou*;  Bou Alvaro, Cristóbal","Bou Alvaro, Cristóbal"
2243,1150,"Bou, Cristóbal","Bou Alvaro, Cristóbal","Bou, Cristóbal;  Bou Alvaro, Cristóbal","Bou Alvaro, Cristóbal"
2244,1151,"Ferrer, Guillermo","Ferrer the Elder, Guillermo","Ferrer, Guillermo;  Ferrer the Elder, Guillermo","Ferrer the Elder, Guillermo"
2245,1152,"Delgado, Félix Bricio*","Bricio Delgado, Félix","Delgado, Félix Bricio*;  Bricio Delgado, Félix","Bricio Delgado, Félix"
2246,1153,"Bringas, Pancho","Bringas y Bringas, Francisco de Paula","Bringas, Pancho;  Bringas y Bringas, Francisco de Paula","Bringas y Bringas, Francisco de Paula"
