RN,FRECN,ALT,authority,search,authimport
1408,725,"Alberto, Bartolomé","Albert, Bartolomé","Alberto, Bartolomé;  Albert, Bartolomé","Albert, Bartolomé"
1409,726,"Camacho, Pedro","Camacho Felices de Alisén, Pedro","Camacho, Pedro;  Camacho Felices de Alisén, Pedro","Camacho Felices de Alisén, Pedro"
1410,726,"Camacho Felices, Pedro","Camacho Felices de Alisén, Pedro","Camacho Felices, Pedro;  Camacho Felices de Alisén, Pedro","Camacho Felices de Alisén, Pedro"
1411,726,"Camacho Felizes de Alisén, Pedro","Camacho Felices de Alisén, Pedro","Camacho Felizes de Alisén, Pedro;  Camacho Felices de Alisén, Pedro","Camacho Felices de Alisén, Pedro"
1412,726,"Felices de Alisén, Pedro Camacho*","Camacho Felices de Alisén, Pedro","Felices de Alisén, Pedro Camacho*;  Camacho Felices de Alisén, Pedro","Camacho Felices de Alisén, Pedro"
1413,729,"Arguis, Master of",Master of Arguis,"Arguis, Master of;  Master of Arguis",Master of Arguis
1414,729,Arguis Master,Master of Arguis,Arguis Master;  Master of Arguis,Master of Arguis
134,73,Chavarito,"Chavarito, Domingo","Chavarito;  Chavarito, Domingo","Chavarito, Domingo"
135,73,"Cheverrito, Domingo","Chavarito, Domingo","Cheverrito, Domingo;  Chavarito, Domingo","Chavarito, Domingo"
136,73,"Echevarría, Domingo","Chavarito, Domingo","Echevarría, Domingo;  Chavarito, Domingo","Chavarito, Domingo"
137,73,"Echevarría, Domingo Chavarito Fernández de*","Chavarito, Domingo","Echevarría, Domingo Chavarito Fernández de*;  Chavarito, Domingo","Chavarito, Domingo"
138,73,"Fernández de Echevarría, Domingo Chavarito","Chavarito, Domingo","Fernández de Echevarría, Domingo Chavarito;  Chavarito, Domingo","Chavarito, Domingo"
1415,730,Arnao de Bruselas,"Bruselas, Arnao de (or Arnal, or Arnau) ","Arnao de Bruselas;  Bruselas, Arnao de (or Arnal, or Arnau) ","Bruselas, Arnao de (or Arnal, or Arnau) "
1416,731,Aleas,"Aleas Vasco de Troya, Leonardo","Aleas;  Aleas Vasco de Troya, Leonardo","Aleas Vasco de Troya, Leonardo"
1417,731,"Aleas, Leonardo","Aleas Vasco de Troya, Leonardo","Aleas, Leonardo;  Aleas Vasco de Troya, Leonardo","Aleas Vasco de Troya, Leonardo"
1418,731,"Vasco de Troya, Leonardo Aleas*","Aleas Vasco de Troya, Leonardo","Vasco de Troya, Leonardo Aleas*;  Aleas Vasco de Troya, Leonardo","Aleas Vasco de Troya, Leonardo"
1419,732,"Díaz, Martí","Díez de Liatzasolo, Martín (or Martí)","Díaz, Martí;  Díez de Liatzasolo, Martín (or Martí)","Díez de Liatzasolo, Martín (or Martí)"
1420,732,"Díaz de Liatçosolo, Martí","Díez de Liatzasolo, Martín (or Martí)","Díaz de Liatçosolo, Martí;  Díez de Liatzasolo, Martín (or Martí)","Díez de Liatzasolo, Martín (or Martí)"
1421,732,"Díaz de Liatzasolo, Martín","Díez de Liatzasolo, Martín (or Martí)","Díaz de Liatzasolo, Martín;  Díez de Liatzasolo, Martín (or Martí)","Díez de Liatzasolo, Martín (or Martí)"
1422,732,"Díaz de Liazlasolo, Martín","Díez de Liatzasolo, Martín (or Martí)","Díaz de Liazlasolo, Martín;  Díez de Liatzasolo, Martín (or Martí)","Díez de Liatzasolo, Martín (or Martí)"
1423,732,"Díez, Martín","Díez de Liatzasolo, Martín (or Martí)","Díez, Martín;  Díez de Liatzasolo, Martín (or Martí)","Díez de Liatzasolo, Martín (or Martí)"
1424,732,"Liatzasolo, Martín Díez de*","Díez de Liatzasolo, Martín (or Martí)","Liatzasolo, Martín Díez de*;  Díez de Liatzasolo, Martín (or Martí)","Díez de Liatzasolo, Martín (or Martí)"
1425,732,"Martín, Master","Díez de Liatzasolo, Martín (or Martí)","Martín, Master;  Díez de Liatzasolo, Martín (or Martí)","Díez de Liatzasolo, Martín (or Martí)"
1426,736,"Cázeres, Fernando de","Cáceres, Fernando de","Cázeres, Fernando de;  Cáceres, Fernando de","Cáceres, Fernando de"
1427,737,"Claperós, Antoni (or Antonio)","Claperós the Elder, Antonio","Claperós, Antoni (or Antonio);  Claperós the Elder, Antonio","Claperós the Elder, Antonio"
1428,737,"Claperós, Toni","Claperós the Elder, Antonio","Claperós, Toni;  Claperós the Elder, Antonio","Claperós the Elder, Antonio"
1429,737,"Claperós I, Antonio","Claperós the Elder, Antonio","Claperós I, Antonio;  Claperós the Elder, Antonio","Claperós the Elder, Antonio"
1430,737,"Clapós, Antonio","Claperós the Elder, Antonio","Clapós, Antonio;  Claperós the Elder, Antonio","Claperós the Elder, Antonio"
1431,738,"Claperós, Antoni (or Antonio)","Claperós the Younger, Antonio","Claperós, Antoni (or Antonio);  Claperós the Younger, Antonio","Claperós the Younger, Antonio"
1432,738,"Claperós II, Antonio","Claperós the Younger, Antonio","Claperós II, Antonio;  Claperós the Younger, Antonio","Claperós the Younger, Antonio"
139,74,"Aleu, Andrés (or Andreu)","Aleu Teixidor, Andreu (or Andrés)","Aleu, Andrés (or Andreu);  Aleu Teixidor, Andreu (or Andrés)","Aleu Teixidor, Andreu (or Andrés)"
140,74,"Aleu y Teixidó, Andrés","Aleu Teixidor, Andreu (or Andrés)","Aleu y Teixidó, Andrés;  Aleu Teixidor, Andreu (or Andrés)","Aleu Teixidor, Andreu (or Andrés)"
141,74,"Teixidor, Andreu Aleu*","Aleu Teixidor, Andreu (or Andrés)","Teixidor, Andreu Aleu*;  Aleu Teixidor, Andreu (or Andrés)","Aleu Teixidor, Andreu (or Andrés)"
